위도,경도
35.76763628,127.3629332
36.03243515,127.5720737
36.06077801,127.551852
35.93471333,127.6598176
35.911465,127.666254
36.1595499,127.1757655
36.15344577,127.164785
35.92802974,127.1011742
35.92835808,127.1007658
35.8529422,126.8426538
35.8525746,126.8428673
35.5704338,126.6947728
35.37775703,126.6040472
36.47863534,126.5872371
36.2749228,126.5791253
36.18898038,126.5929585
36.19893677,126.5884265
36.06879574,126.747055
36.06879574,126.747055
35.26094439,126.9711687
35.31545483,126.7935583
36.05163274,128.4080556
35.3168901,126.7939767
35.22685633,126.8263096
35.24506423,127.0258298
35.23404867,127.2041699
35.23383947,127.2041806
35.347596,126.778012
35.34725215,126.7777965
35.24883378,126.9283468
35.24883378,126.9283468
35.05593487,127.2773555
35.05593487,127.2773555
34.99606303,127.4936989
34.98462117,127.5891467
34.98462117,127.5891467
35.24945575,126.5189718
34.95257541,126.5038207
34.94576778,126.504596
34.823812,127.381603
34.68656192,126.7740237
34.694235,126.755097
35.38527305,127.2343431
36.15643219,128.02568
36.15651708,128.0264901
36.15251095,128.1912392
36.15281944,128.1907565
36.13630671,128.3161787
36.13627142,128.3165002
34.98175411,128.3735157
35.75225939,129.194721
35.59837007,129.140183
35.545332,129.118872
35.34312987,129.0428034
35.34235591,129.0421478
35.92212137,128.4844738
35.91491799,128.6134722
35.91573946,128.6144513
35.924622,128.9980117
35.9246295,128.999844
35.90491377,128.4794864
35.910297,128.504056
35.93259366,128.6510886
35.93148217,128.6525431
36.37976405,128.5771112
36.37903059,128.5774794
36.12565427,128.5410969
36.12560806,128.5417815
35.94842006,128.5476662
36.01706571,128.8854996
35.61123398,127.881546
35.636051,127.906245
35.7006443,128.2338851
35.72240209,128.2973482
36.68978886,128.554036
36.60315372,128.5841601
36.91350622,128.3977005
36.91372023,128.3969014
36.19807703,128.2591005
36.21309917,128.2621289
36.09261436,128.2616627
35.7041488,128.417746
36.42102683,128.576998
36.41882715,128.699326
36.43786162,128.9287923
36.4809483,129.1747296
36.46159596,129.2107704
35.29233912,129.2061941
35.29233912,129.2061941
35.22085404,128.8702906
35.22085404,128.8702906
35.28314827,128.6172025
35.24932395,128.7589787
35.24528591,128.7603006
35.26331546,128.6120097
35.26331546,128.6120097
35.05317013,127.9446964
35.05317013,127.9446964
35.20659712,128.2537064
35.20799567,128.2582372
35.63527857,127.7088355
35.63350327,127.7139066
35.51724618,127.7962334
35.51724618,127.7962334
35.44032162,127.8532348
35.43837913,127.8547834
35.1974427,128.0291887
35.19697858,128.0295319
35.55044188,129.1675288
35.55007712,129.1676029
35.66671716,128.435925
35.53087935,128.4885717
35.54493533,128.4757461
35.09473045,128.1642909
35.09495156,128.1644658
34.98175411,128.3735157
37.42026395,128.0019496
37.52293298,128.2754878
37.52216459,128.2743265
37.66472501,128.5932277
37.66392828,128.5932328
37.6751734,128.7202156
37.72400902,128.7790019
37.71175324,127.8275845
37.3495824,127.908801
37.35014699,127.9099097
37.573915,127.973639
37.58111815,127.9741438
37.75810138,127.880209
37.45971546,129.107133
38.1184743,128.5795826
38.11953935,128.5797114
37.84347461,128.2354008
37.84093096,128.233328
37.99622926,128.5344015
37.99956719,128.5363842
37.24279698,127.4670635
37.24176915,127.4654933
37.34228633,127.5464181
37.34166074,127.5467197
37.19659002,127.4433182
37.19685569,127.4434293
37.08423849,127.4570094
37.592299,126.768356
37.58700244,126.7606632
37.45071304,126.8038421
37.45048055,126.8031881
37.35664272,126.8648238
37.35493291,126.8619876
37.35875579,126.7807808
37.31955099,126.9857648
37.28861576,127.1387267
37.07012149,126.8883559
37.030977,127.0803249
37.032321,127.081361
37.15670802,127.0871649
37.1542659,127.0861027
37.09619177,127.1207375
37.00111198,127.1519713
37.45446159,127.254336
37.45446159,127.254336
37.32332718,127.3387835
37.32332718,127.3387835
37.44865226,127.2736769
37.44787093,127.275447
37.39327011,127.0223096
37.44119064,127.1347192
37.58970285,127.1559021
37.23526586,127.6038416
37.25285377,127.7036535
37.25885706,127.7153001
37.42026395,128.0019496
